answer_id,department,orig_is_multi,E-3,E-2,E-6,E-1,E-7,E-5
9d395e4d-f03e-11ef-a9fb-010101010000,안과,1,149,40,8,45,5,8
9d3cb9b4-f03e-11ef-b9c5-010101010000,내과,0,1,1,1,1,1,1
9d3da415-f03e-11ef-adab-010101010000,내과,0,3,1,1,1,1,1
9d3eb57c-f03e-11ef-b7bc-010101010000,내과,1,2,37,2,6,3,2
9d408a40-f03e-11ef-93f8-010101010000,피부과,0,36,25,16,33,12,21
9d44bd19-f03e-11ef-abeb-010101010000,내과,0,2,1,1,1,1,1
9d4691d8-f03e-11ef-8831-010101010000,외과,0,8,2,1,2,1,2
9d475534-f03e-11ef-a4e9-010101010000,외과,0,8,7,4,6,3,8
9d49510a-f03e-11ef-9d3b-010101010000,내과,0,2,2,2,2,2,2
9d4ad7ab-f03e-11ef-ba02-010101010000,피부과,0,2,2,2,2,1,2
9d4c1029-f03e-11ef-9661-010101010000,내과,0,9,13,3,13,4,3
9d4e330e-f03e-11ef-90c4-010101010000,피부과,1,174,57,84,123,60,115
9d52ac87-f03e-11ef-a559-010101010000,내과,0,22,31,5,20,4,7
9d5321b1-f03e-11ef-881e-010101010000,내과,1,57,24,29,37,30,28
9d5396e0-f03e-11ef-bdad-010101010000,내과,0,91,4,1,3,1,2
9d54cf63-f03e-11ef-b9a6-010101010000,내과,1,4,1,1,1,1,1
9d565607-f03e-11ef-a419-010101010000,내과,1,2,1,1,1,1,1
9d57b594-f03e-11ef-b45c-010101010000,내과,0,2,4,1,2,1,1
9d57dcb8-f03e-11ef-9fce-010101010000,내과,0,5,29,40,43,43,24
9d591528-f03e-11ef-b718-010101010000,외과,1,16,3,2,3,2,4
9d591529-f03e-11ef-976b-010101010000,내과,1,4,2,1,3,1,1
9d593c3f-f03e-11ef-b2d4-010101010000,내과,0,3,1,1,1,1,1
9d5a269b-f03e-11ef-8e51-010101010000,내과,1,4,1,2,3,4,1
9d5a9bc2-f03e-11ef-a643-010101010000,외과,0,501,32,6,36,4,12
9d5e9369-f03e-11ef-b93e-010101010000,내과,1,1,1,1,1,1,1
9d5ee189-f03e-11ef-9ac8-010101010000,내과,0,1,1,1,1,1,1
9d60b688-f03e-11ef-91e3-010101010000,내과,0,1,1,1,1,1,1
9d61d730-f03e-11ef-824e-010101010000,내과,1,1,1,1,1,1,1
9d624c6d-f03e-11ef-a747-010101010000,외과,1,3,1,1,1,1,1
9d68b502-f03e-11ef-8e8a-010101010000,피부과,0,14,3,2,3,1,3
9d699f66-f03e-11ef-bdf2-010101010000,외과,0,1,1,2,1,2,2
9d6be956-f03e-11ef-98e7-010101010000,내과,0,25,7,2,5,2,5
9d6cfac3-f03e-11ef-b944-010101010000,내과,1,1,5,8,7,28,17
9d6d48e0-f03e-11ef-86d7-010101010000,내과,0,3,6,6,8,6,7
9d6e3349-f03e-11ef-87ef-010101010000,외과,1,4,1,1,1,1,1
9d6f92ff-f03e-11ef-b07d-010101010000,내과,0,1,1,1,1,1,1
9d705657-f03e-11ef-9943-010101010000,외과,0,721,271,637,323,719,705
9d70dfb4-f03e-11ef-9930-010101010000,외과,0,3,2,2,2,1,2
9d732994-f03e-11ef-901f-010101010000,내과,0,1,4,1,3,1,1
9d75e8bb-f03e-11ef-b736-010101010000,피부과,1,90,11,65,44,136,59
9d76ac0d-f03e-11ef-81fd-010101010000,내과,0,2,7,2,6,2,2
9d776f57-f03e-11ef-8d00-010101010000,외과,0,1,2,2,3,9,2
9d7c033a-f03e-11ef-9055-010101010000,내과,0,6656,1543,11,490,15,8
9d7c786c-f03e-11ef-b52d-010101010000,피부과,0,15,44,28,53,34,25
9d7c9f75-f03e-11ef-a87e-010101010000,내과,0,1,1,1,1,1,1
9d7cc67f-f03e-11ef-ad91-010101010000,외과,0,10,1,1,3,1,1
9d7ee98f-f03e-11ef-850d-010101010000,내과,1,2,2,1,2,2,1
9d7fd3e6-f03e-11ef-a802-010101010000,치과,0,1,1,1,1,1,1
9d8034d6-f03e-11ef-ab5b-010101010000,피부과,0,1,1,1,1,1,1
9d805beb-f03e-11ef-9b72-010101010000,피부과,0,11,1,1,1,1,1
9d827ebf-f03e-11ef-9563-010101010000,외과,0,2,1,4,1,3,2
9d847a93-f03e-11ef-8487-010101010000,피부과,1,18,2,4,4,15,8
9d8516dc-f03e-11ef-9d42-010101010000,내과,0,1,1,3,1,6,1
9d858c08-f03e-11ef-a007-010101010000,외과,1,21,16,15,15,31,12
9d89358d-f03e-11ef-bf66-010101010000,내과,0,49,3,1,2,1,1
9d8b7f7c-f03e-11ef-ac57-010101010000,내과,0,1,1,1,1,1,1
9d946d83-f03e-11ef-b868-010101010000,내과,1,1859,4710,844,5811,829,767
9d96de76-f03e-11ef-8773-010101010000,내과,1,4,3,1,1,1,1
9d977abd-f03e-11ef-aa64-010101010000,내과,1,1,1,1,1,1,1
9d992865-f03e-11ef-84b4-010101010000,외과,0,34,6,9,8,6,6
9d9cf92b-f03e-11ef-a1dc-010101010000,외과,1,1,1,1,1,1,1
9d9d4755-f03e-11ef-abff-010101010000,외과,0,4,1,1,1,1,1
9d9d6e58-f03e-11ef-a662-010101010000,피부과,0,4,1,1,3,1,2
9da0688b-f03e-11ef-b270-010101010000,치과,0,26,9,19,9,29,28
9da52373-f03e-11ef-9cd3-010101010000,외과,0,9,17,3,26,3,3
9db05b15-f03e-11ef-ab5b-010101010000,외과,0,2,2,1,2,1,1
9db27dfc-f03e-11ef-8bd3-010101010000,외과,1,2,1,3,3,2,3
9db4a0eb-f03e-11ef-9c4a-010101010000,치과,0,1,2,1,1,1,1
9dba4626-f03e-11ef-8829-010101010000,피부과,0,9,26,4,12,3,4
9dbd67c6-f03e-11ef-a043-010101010000,외과,1,28,6,2,3,1,2
9dc779e0-f03e-11ef-983c-010101010000,외과,0,2,7,16,8,25,22
9dc99cc0-f03e-11ef-b6a4-010101010000,외과,1,60,26,7,24,8,7
9dcaae5c-f03e-11ef-8f4e-010101010000,안과,0,7,1,1,1,1,1
9dcbe6de-f03e-11ef-9f36-010101010000,외과,1,1917,2202,605,2398,529,691
9dcce53d-f03e-11ef-ae77-010101010000,외과,1,2,1,2,3,2,2
9dce6bfb-f03e-11ef-8d51-010101010000,치과,0,24,8,29,13,24,19
9dcf5639-f03e-11ef-92ce-010101010000,안과,1,1,1,1,1,1,1
9dd08ed0-f03e-11ef-9821-010101010000,외과,0,20,4,1,7,2,2
9dd76c80-f03e-11ef-8bef-010101010000,외과,0,339,953,760,1450,735,1375
9dd9689e-f03e-11ef-9cb2-010101010000,피부과,1,26,6,4,11,4,5
9de192f3-f03e-11ef-a3bf-010101010000,외과,1,11,14,6,19,8,10
9de674e7-f03e-11ef-a148-010101010000,외과,0,3,1,1,1,1,1
9deb923c-f03e-11ef-a3ad-010101010000,외과,0,1,2,1,1,1,1
9ded6715-f03e-11ef-bb3b-010101010000,외과,1,53,33,47,33,77,43
9ded8e04-f03e-11ef-a281-010101010000,피부과,0,2,2,1,2,1,1
9dee2a55-f03e-11ef-9f69-010101010000,내과,1,4449,45,105,72,69,194
9df3cf92-f03e-11ef-a5e8-010101010000,외과,1,19,25,3,69,2,8
9dfd0b6e-f03e-11ef-a753-010101010000,외과,1,11,15,12,23,6,14
9dfe43e4-f03e-11ef-aa95-010101010000,외과,0,298,1759,853,1067,1303,653
9e02b0b8-f03e-11ef-bc91-010101010000,외과,1,46,49,13,45,13,18
9e03e940-f03e-11ef-9ce0-010101010000,안과,1,26,16,36,11,28,13
9e0548ce-f03e-11ef-b45f-010101010000,외과,1,2,1,2,1,1,1
9e306527-f03e-11ef-88a7-010101010000,안과,1,1,1,1,1,1,1
9e3ea9e7-f03e-11ef-9b9b-010101010000,외과,1,218,269,659,931,559,897
9e3fbb50-f03e-11ef-81ed-010101010000,외과,0,2,2,1,2,1,2
9e419012-f03e-11ef-b6d9-010101010000,피부과,0,1,5,1,8,1,1
9e41de34-f03e-11ef-be53-010101010000,외과,0,1,6,4,4,2,4
9e496c97-f03e-11ef-a55e-010101010000,외과,1,2,76,22,57,13,66
9e4e75b4-f03e-11ef-882b-010101010000,내과,1,5,23,3,64,5,6
9e50e6ab-f03e-11ef-92f6-010101010000,외과,0,1,1,1,1,1,1
9e526d63-f03e-11ef-8c53-010101010000,외과,1,4,1,5,1,4,7
9e640543-f03e-11ef-afec-010101010000,안과,0,4,8,1,4,1,2
9e64a172-f03e-11ef-84dd-010101010000,치과,0,6,1,1,2,1,1
9e6523d6-f03e-11ef-aabb-010101010000,피부과,0,11,1,2,1,1,3
9e67e2f6-f03e-11ef-a9f5-010101010000,외과,0,5630,427,334,464,519,337
9e6f0eea-f03e-11ef-80df-010101010000,외과,1,1,1,1,1,1,1
9e71ce12-f03e-11ef-a937-010101010000,외과,1,4,32,16,15,40,15
9e7a6dc2-f03e-11ef-adde-010101010000,외과,1,20,10,3,3,8,4
9e7bcd57-f03e-11ef-931b-010101010000,외과,0,1,1,1,1,1,1
9e7c1b73-f03e-11ef-b507-010101010000,외과,1,1,1,1,1,1,1
9e7e3e5c-f03e-11ef-8a36-010101010000,외과,1,4,13,1,14,2,3
9e7e8c77-f03e-11ef-9cef-010101010000,외과,1,28,2,11,5,19,22
9e7f76dc-f03e-11ef-96b9-010101010000,피부과,0,1,11,1,1,2,1
9e82ab6a-f03e-11ef-a1a1-010101010000,피부과,0,1,2,1,1,1,1
9e848485-f03e-11ef-b241-010101010000,외과,1,6,7,6,6,4,6
9e8a02c5-f03e-11ef-8033-010101010000,외과,1,58,1,2,1,2,2
9e8e4888-f03e-11ef-bafc-010101010000,외과,1,264,29,29,36,169,27
9e92406c-f03e-11ef-92f7-010101010000,피부과,0,4,5,1,4,1,1
