answer_id,department,orig_is_multi,E-6,E-8,E-2
9d5396e0-f03e-11ef-bdad-010101010000,내과,0,1,1,4
9d54cf63-f03e-11ef-b9a6-010101010000,내과,1,1,1,1
9d565607-f03e-11ef-a419-010101010000,내과,1,1,1,1
9d57b594-f03e-11ef-b45c-010101010000,내과,0,1,1,4
9d57dcb8-f03e-11ef-9fce-010101010000,내과,0,40,174,29
9d591528-f03e-11ef-b718-010101010000,외과,1,2,3,3
9d591529-f03e-11ef-976b-010101010000,내과,1,1,5,2
9d593c3f-f03e-11ef-b2d4-010101010000,내과,0,1,1,1
9d5a269b-f03e-11ef-8e51-010101010000,내과,1,2,3,1
9d5a9bc2-f03e-11ef-a643-010101010000,외과,0,6,12,32
9d5e9369-f03e-11ef-b93e-010101010000,내과,1,1,1,1
9d5ee189-f03e-11ef-9ac8-010101010000,내과,0,1,1,1
9d60b688-f03e-11ef-91e3-010101010000,내과,0,1,1,1
9d61d730-f03e-11ef-824e-010101010000,내과,1,1,1,1
9d624c6d-f03e-11ef-a747-010101010000,외과,1,1,1,1
9d68b502-f03e-11ef-8e8a-010101010000,피부과,0,2,4,3
9d699f66-f03e-11ef-bdf2-010101010000,외과,0,2,1,1
9d6be956-f03e-11ef-98e7-010101010000,내과,0,2,4,7
9d6cfac3-f03e-11ef-b944-010101010000,내과,1,8,15,5
9d6d48e0-f03e-11ef-86d7-010101010000,내과,0,6,10,6
9d6e3349-f03e-11ef-87ef-010101010000,외과,1,1,1,1
9d6f92ff-f03e-11ef-b07d-010101010000,내과,0,1,1,1
9d705657-f03e-11ef-9943-010101010000,외과,0,637,678,271
9d70dfb4-f03e-11ef-9930-010101010000,외과,0,2,2,2
9d732994-f03e-11ef-901f-010101010000,내과,0,1,1,4
9d75e8bb-f03e-11ef-b736-010101010000,피부과,1,65,83,11
9d76ac0d-f03e-11ef-81fd-010101010000,내과,0,2,2,7
9d776f57-f03e-11ef-8d00-010101010000,외과,0,2,1,2
9d7c033a-f03e-11ef-9055-010101010000,내과,0,11,140,1543
9d7c786c-f03e-11ef-b52d-010101010000,피부과,0,28,40,44
